expression,context,category
podobně jako,Přitom se Rusko chová PODOBNĚ JAKO řada populistů poslední doby.,adv_pred
úplně jedno,Který konkrétně? To je přece ÚPLNĚ JEDNO.,adv_pred
před okamžikem,"Tam, kde jsem PŘED OKAMŽIKEM stál, zasvištělo ostří ostroplochého meče.",adv_pred
v tom okamžiku,"V TOM OKAMŽIKU jsem pocítil, jak praská naše podlaha, tříští se sklo a já s prsty zarytými do Wagnerovi a krku letím společně s ním do propasti…",adv_pred
až dosud,"AŽ DOSUD jsme se mohli shodnout na tom, že lepší než špatná politika je žádná politika a nulové vztahy.",adv_pred
mezitím,"MEZITÍM ta samá organizace, která beztrestně bombardovala jugoslávii, nyní přesouvá vojenské jednotky, zbraně a munici k ruské hranici, a říká tomu obrana.",adv_pred
na stranu,Lans ukázal NA STRANU.,adv_pred
na sebe,Velké západní nadnárodní firmy a korporace NA SEBE vzaly politickou roli.,adv_pred
po celou dobu,Evropská unie a její politici PO CELOU DOBU demonstrací podporovali Majdan.,adv_pred
před tím,"Je to jedna z nejúspěšnějších „fake news“, které západní propaganda za posledních 30 let vyrobila – dávno PŘED TÍM, než se v politice objevil Trump.",adv_pred
v důsledku,Artemidin chrám v efesu byl zničen 21. července 356 př.n.l. V DŮSLEDKU žhářství spáchaného Herostratem.,adv_pred
ještě pořád,"Německo je naopak země, která na Evropské unii a zejména na existenci eura nejvíce vydělala a JEŠTĚ POŘÁD nesmírně vydělává.",adv_pred
na místě,"Produkty, které doposud exportovaly, začaly vyrábět NA MÍSTĚ.",adv_pred
opravdu,Plynovod je pro Německo OPRAVDU velmi důležitým projektem.,adv_pred
přeci jen,"Takže já už jsem se na to trošičku ptala, ale PŘECI JEN.",adv_pred
konec konců,"KONEC KONCŮ před deseti roky by asi také málokdo věřil, že se východ Ukrajiny promění v regulérní bojiště války.",adv_pred
celý život,"V Barguzinském národním parku jsme se zase seznámili s paní Irinou Ivanovnou, která ochraně přírody zasvětila prakticky CELÝ ŽIVOT.",adv_pred
k čemu,"To by byla zcela bezprecedentní záležitost, a vůbec netuším, K ČEMU by to mohlo vést.",adv_pred
do konce,"A to přesto, že zainteresovaná ukrajinská veřejnost aplauduje důslednosti, s jakou jsou u nás podobné případy ve srovnání se světem dotahovány DO KONCE.",adv_pred
bohužel,"BOHUŽEL se ukázalo, že se jeho představy trochu rozcházejí s realitou.",adv_pred
tak teda,"Vážně chceš vědět, kdo to byl? TAK TEDA, byl to.",adv_pred
na celek,Dívám se na to jako NA CELEK.,adv_pred
na světě,"Neexistuje NA SVĚTĚ hrdina, jenž by nebyl někomu ukraden, a není země, která by původně nebyla někoho jiného.",adv_pred
v rukou,Svíčkárnu v Samaře už měl takřka V RUKOU.,adv_pred
ne jednou,Konec konců tam skutečně byl a NE JEDNOU.,adv_pred
v odpověď,Byla by uslyšela V ODPOVĚĎ jen další strofu písně.,adv_pred
poslední době,"Jejich vedení sice v POSLEDNÍ DOBĚ zrušilo několik linek do měst v Německu, Anglii i na Slovensku, létání do Ruska však nadále posiluje.",adv_pred
převážně,Trasa lodí vede převážně podél pobřeží.,adv_pred
v minulosti,"Tentokrát nebojují tak, jako několikrát V MINULOSTI, jen dvě země a jejich spojenci.",adv_pred
po cestě,"Jerusalimčíková se smála, odpovídala mu žerty, ale už za několik minut ho vzala v podpaždí, PO CESTĚ mu vyprávěla něco zajímavého a přiváděla ho k chirurgovi.",adv_pred
s námahou,Marie několikrát vzdychne a S NÁMAHOU se na posteli posadí.,adv_pred
v duchu,"Musel se V DUCHU smát tomu, jak ve vlaku, když jeli na frontu, hejtman Ságner mu vyhrožoval, že bude muset přeřezávat drátěné překážky.",adv_pred
co se týče,"CO SE TÝČE otravy cibulí, tak ta způsobuje rozpad krve, takže zvíře je unavené.",adv_pred
jako vždy,Jako vždy je ale na ruské straně provázejí nesmyslné požadavky a drzé vyhrožování.,adv_pred
v pořádku,"S představením jsem spokojen, pravil Ostap , křesla jsou V POŘÁDKU.",adv_pred
v čele,Milují byzantinské samoděržaví V ČELE s charismatickým carem a oddávají se velmi konzervativní formě pravoslaví.,adv_pred
pro sebe,"Pavlyš mlčel. Četl si PRO SEBE. Vím, jak se dostat do dolního patra.",adv_pred
ani jednou,"Pravda, ANI JEDNOU jsem neviděl její tvář.",adv_pred
svého času,"Obama se SVÉHO ČASU propracoval k poznání, že Srbsko je klíčem k bezpečnosti Balkánu.",adv_pred
v první řadě,"„jsou nás tisíce a tisíce a již dlouho marně čekáme, že se naše vláda odhodlá dbát V PRVNÍ ŘADĚ o zdraví a blaho svých občanů, a přestane se řídit diktátem Bruselu a liberální opozice!! !",adv_pred
za sebe,"Jen ať se zkusí vzpírat. Neprosím ZA SEBE, výbore. Prosím i za něho.",adv_pred
v těchto dnech,"Richard věděl, co má OTT na mysli: v Japonsku byla právě V TĚCHTO DNECH vyhlášena mobilizace.",adv_pred
s gustem,"Po vzoru Sovětského svazu (SSSR) se do toho S GUSTEM pustili především v nejamorálnější sportovní mocnosti, v NDR.",adv_pred
pokaždé,"Když se Gagarin opakovaně ptal na parametry své oběžné dráhy, POKAŽDÉ mu proto raději dali nejasnou odpověď, aby ho neznepokojovali.",adv_pred
do té doby,"Taky to může být naopak a vše, co jsme viděli DO TÉ DOBY, je pouze její představa.",adv_pred
na očích,"Všem NA OČÍCH objela dětské hřiště, zakroužila kolem žasnoucích kamarádek a rozjela se do Stromovky.",adv_pred
v poslední době,Přitom se rusko chová podobně jako řada populistů v poslední době.,adv_pred
více či méně,"VÍCE ČI MÉNĚ propracované lži v médiích a Goebbelesovy praktiky fanatických evropských úředníků mi naháněly hrůzu, ale Putinovy činy dávaly smysl.",adv_pred
co chvíli,"Pán domu CO CHVÍLI doléval do maličkých porcelánových číšek přihřáté saké, a oběma bylo zřejmě výborně.",adv_pred
v jádru,V JÁDRU byl stejný jako ona.,adv_pred
nejen,V roce 2010 zase podobné množství kalorií (NEJEN v pšenici) z trhu „odstranilo “sucho v USA.,conj
tak i,"Nyní je důležité jak z hlediska veřejného zdraví, TAK I z hlediska trestního práva, aby byly zákony přijaty co nejdříve.",conj
ale i,"ALE I bez toho to bylo skutečně složitější, jak jste říkala.",conj
protože,"A PROTOŽE byste si to možná někdy v zimě sami rádi zkusili, řeknu vám, jak to Blboun provedl.",conj
a ani,"I když jak bylo oznámeno, summit neskončí žádnou průlomovou dohodou nebo prohlášením A ANI obvyklá společná tiskovka se nejspíš konat nebude, veřejnost s napětím sleduje průběh příprav.",conj
tak jako,"Ovšem, TAK JAKO v minulosti, můžeme očekávat tlak především od dvou geograficky blízkých mocností, a to Německa a Ruska.",conj
takže,"TAKŽE téměř všechny recepty, které jsou v těchto knihách, mám osobně odzkoušené.",conj
a také,Zvýšené nároky na železo mají děti v období růstu A TAKÉ těhotné nebo kojící ženy.,conj
ne méně než,"Jistě NE MÉNĚ NEŽ pět set měsíčně, ne-li plných šest set.",conj
k tomu aby,"Byla to doba rozkvětu, kdy zahrady, které lidé měli, byly spíše k potěše oka než K TOMU, ABY si vypěstovali nějaké dobroty.",conj
už vůbec,"A UŽ VŮBEC není jisté, zdali případné změny režimů budou k lepšímu.",conj
i když,"Tygr dokáže šplhat (I KDYŽ ne dobře), plavat, skákat na velké vzdálenosti a tahat s pětkrát větší silou než silný člověk.",conj
když ne,"K tomu se u nás v České republice dále vyzbrojujeme těžkou pozemní technikou, u které není jasné, kam má být nasazena, KDYŽ NE na obranu našeho suverénního státního území.",conj
z toho,"Chlapec ukryl více než 600 poštovních dokumentů, Z TOHO 429 novoročních přání, které příslušným adresátům nebyly doručeny.",conj
co nejrychleji,CO NEJRYCHLEJI přijdeme.,conj
tak jak,"To znamená, že rusové ovládnou celý východ a jihovýchod TAK, JAK ovládli téměř celé pobřeží, odřízli Ukrajinu téměř od moří.",conj
ke všemu,Copak bude zase odmítnut a ještě ke všemu před svědky?,conj
no a,"Tyhle má pod patronátem Branko. O tamty pečuje Hozumi. Generálové, to je Jotokovo hájemství. NO A tihle, ti jsou moji.",conj
jako by,Mistr JAKO BY čekal na ten okamžik. Stál nehybně a prohlížel si sedícího prokurátora.,conj
jakkoliv,"Pokud nenávist vytlačila lásku, ať nazveš jakkoliv Sílu, která si z tebe udělala hračku, stojíš u jejího zdroje ty sám.",conj
potom co,"Zaslechl vrzání pantů asi přes čtyři střechy nedlouho potom, co jeho přítel odešel.",conj
z hlediska,Madagaskar je zdaleka největší a Z HLEDISKA divoké přírody jej můžeme považovat za samostatný kontinent.,conj
ale přestože,"Nebudeš tomu věřit, ALE PŘESTOŽE nebyla tak krásná jako ty, byla ti v  něčem podobná.",conj
tím spíše že,"TÍM SPÍŠE, ŽE česká a ruská kultura mají mnoho společných hodnot a historických průsečíků.",conj
než dojde,"Potrvá mnoho let, NEŽ DOJDE ke stavbě použitelných fúzních reaktorů.",conj
a přestože,"A PŘESTOŽE byly všechny dávno vyvráceny, většina z nich se drží dodnes.",conj
tak aby,"Často se díly řadí tak, aby je pracovníci na výrobní lince mohli brát dle aktuálního plánu.",conj
a právě,"Leonťjev má bolesti v horní části zátylku A PRÁVĚ tam, podle mých představ, v zadní části velkých hemisfér, jsou soustředěna nejstarší spojení — buňky paměti.",conj
i té,"Přitom právě současné Putinovo Rusko pěstuje státní ideologii, která je hybridní směsí ostentativní pravoslavné nabubřelosti, ruské imperiální nostalgie (I TÉ sovětské) a prezidentského kultu osobnosti.",conj
a přitom,A PŘITOM právě touto otázkou začíná se žebřík křesťanské svatosti.,conj
proto že,"Rovnou mi odsekla, že nikam nepojede, a já, musím se přiznat, jsem ji nechala u Chatfieldů také PROTO, ŽE bych s ní zrovna teď nerada zůstala o samotě.",conj
navzdory tomu co,"Naše babičky a prababičky se snažily, NAVZDORY TOMU, CO jste teď říkala, život ulehčit.",conj
v době kdy,"V době, kdy Londýn byl bombardován německým letectvem, Stalin zasílal Hitlerovi pozdravné telegramy a strategické suroviny.",conj
ale vždyť,"Máš pravdu, je nešťastná, ALE VŽDYŤ to je jen knížka.",conj
po tom,"Takže to, že jsme tady s mužem vynášeli vodu ze sklepa, že se PO TOM zchvátil, až z toho lehnul, to se mi jen zdálo?",conj
jakkoli,"Ona je bez váhy, ona je předem mrtvá, jakkoli je děsivá, nádherná či vznešená",conj
když ani,"A KDYŽ ANI toto nepůjde, pak svými produkty zahustí veřejný prostor.",conj
tak dlouho dokud,"Tak dlouho, dokud nenastane něco mimořádného.",conj
aspoň kdyby,"„ASPOŇ KDYBY nám dali každému pušku, až to bude potřeba, “řekl Ljoška.",conj
dokonce i,"Ještě před půl stoletím bylo na takové dobývání třeba věnovat mnoho času (i týdny, DOKONCE I měsíce! ).",conj
jen aby,V posteli se schoulila pod přikrývku a usínala s přáním: JEN ABY noc nezradila!…,conj
pokud jde o,"Pokud JDE O TO kurýrování, škoda, že Dmitrij Nikolajevič zůstane dneska na noc v Moskvě.",conj
místo toho aby,"Místo toho, aby počítali s chladnou hlavou, co je pro ně samotné nejvýhodnější, nechali se ovlivnit na první pohled takovou banalitou.",conj
stejně jako,"Rudá armáda v roce 1920 disponovala téměř pěti a půl milióny vojáků, což bylo STEJNĚ JAKO v roce 1941, kdy Hitler napadl Sovětský svaz.",conj
čím více,"Čím více a rychleji se nato bude rozšiřovat, tím rychleji zmizí v archivu a poté mnozí z nás budou klidněji spát.",conj
snad jen,Kdo tohle ví? “řekl nakladatel. „snad jen vítr.,conj
stejně tak,"A stejně tak je absurdní předpokládat, že to můžou zastavit nějaké zákony.",conj
jenom jestli,„nezbývá nám než čekat na svítání. “ „jenom jestli nás všechny nepodřežou.,conj
od doby kdy,"Poprvé od doby, kdy jsem se ocitl pod cizím nebem, se mě zmocnila bezradnost.",conj
jen kdyby,"Místo, kde nechali koně, už bylo blízko, jen kdyby se tam dostali.",conj
také je možné,"A TAKÉ JE MOŽNÉ, že to byla vědomá dezinformace sovětských tajných služeb, které chtěly způsobit Američanům obtíže.",parenth
tímto způsobem,TÍMTO ZPŮSOBEM se tam pro rusy otevírá obrovský obchodní potenciál.,parenth
především,"O bylo ještě v březnu možné, kdy byli rusové neúspěšní a PŘEDEVŠÍM u Kyjeva a Charkova.",parenth
kromě toho,"KROMĚ TOHO je zatím nejasné, jak se vyvinou ceny LNG v Asii, která v minulém období nakupovala méně.",parenth
v takovém případě,Evropa by V TAKOVÉM PŘÍPADĚ mohla přimhouřit oči nad uhlím.,parenth
v každém případě,V KAŽDÉM PŘÍPADĚ odneste kotě i misku.,parenth
mezi jiným,"MEZI JINÝM jsem pozoroval, že dr Kramář bude mít potíže.",parenth
mám pocit,"MÁM POCIT, že jejich politické špičky se prostě zalekly nepředvídatelných následků takového kroku.",parenth
spolu s tím,"Růst poptávky po stabilních dodávkách energie SPOLU S TÍM, že EU se rozhodla označit jadernou energii za ekologickou, by mohlo pomoci tento proces urychlit.",parenth
dalo by se říct,"Ne, oni, dalo by se říct, o tohle nemají zájem. Oni se vždycky chovají tak, že respektují smlouvy, které uzavřeli.",parenth
lze říci,"LZE ŘÍCI, že trasu letu lze měnit pouze z důvodu zajištění bezpečnosti a ochrany zdraví.",parenth
v podstatě,"Jediné, co udělám ― jediné, co si troufnu udělat ― bude V PODSTATĚ taková hloupost…",parenth
díky bohu,"DÍKY BOHU, Donald Trump má jiný názor a boří těmto politrukům bábovičky.",parenth
jak je známo,"jak je známo, bzučet mohou jedině včely.",parenth
z pohledu,"Daný prezidentův/ vládní krok (či „vyjednávací tah“) je Z POHLEDU „lidu “v podstatě očekávaný, resp. V daném kontextu je svým způsobem „protokolární nutností“.",parenth
nejspíš,"Pokud však je člověk bohatý, tak NEJSPÍŠ bude podporovat přijímání uprchlíků.",parenth
podle něj,PODLE NĚJ je tohle jeden z hlavních důvodů.,parenth
krátce řečeno,"KRÁTCE ŘEČENO, jako jeho stájník. A také byste ošetřoval psy.",parenth
ba co víc,"BA CO VÍC, ruští vůdcové ještě jedou podle mentality vytvořené marxistickou dialektikou.",parenth
podle mého názoru,"PODLE MÉHO NÁZORU byl a stále zůstává posledním důvodem pokus o vytvoření ""národního státu"".",parenth
v zásadě,"Čili člověk je dostatečně plastický, aby si zvykl V ZÁSADĚ na všechno.",parenth
samozřejmě že,SAMOZŘEJMĚ ŽE сhrám pouští dovnitř jen vládce planety.,parenth
připadalo mi,"PŘIPADALO MI, že jsem doma",parenth
jak se říká,"JAK SE ŘÍKÁ, bohatí Řekové, chudé Řecko.",parenth
je třeba říci,"Je TŘEBA ŘÍCI, že když se mužik pohne nalevo srdcem i rozumem, hned začne mluvit o sobě jako o známém rebelantovi.",parenth
bůh dá,"BŮH DÁ, že tato kontinuita nebude nikdy přerušena.",parenth
tak jako tak,"Došlo by k tomu TAK JAKO TAK, i kdyby migrační vlna nepřišla.",parenth
chcete-li,"Evropa je zcela závislá na ruské státní společnosti Gazprom. Nebo na Kremlu, CHCETE-LI.",parenth
proboha,"Lyšíš? Páni jdou. Nána: proboha, Heleno!",parenth
tomu se říká,Tomu se říká zásadní otázka.,parenth
není pochyby,"NENÍ POCHYBY, že si ho všichni vážili, ale dnes…",parenth
z mého pohledu,"Nastal velký propad, který je Z MÉHO POHLEDU fatální.",parenth
jinými slovy,"JINÝMI SLOVY: neudělat ho, tak to turecká veřejnost (tisk apod.) Vyhodnotí v tom smyslu, že něco není v pořádku.",parenth
mimo jiné,S tímto – MIMO JINÉ – také drtivě vyhrál dubnové parlamentní volby.,parenth
podle všeho,"Nejdříve většina médií (i českých) tvrdila, že za vraždou PODLE VŠEHO stojí mafie.",parenth
nedalo se nic dělat,"NEDALO SE NIC DĚLAT, malíčci mu dali najíst, potom ho vyvedli na okraj města a ukázali mu cestu.",parenth
jak vidíte,"JAK VIDÍTE, taky umím být otevřený.",parenth
po pravdě řečeno,"PO PRAVDĚ ŘEČENO, případ byl jasný už od včerejška.",parenth
buď jak buď,"buď jak buď, přece můj Makar dobře si pamatoval, že je plnokrevný čalganský sedlák.",parenth
k čertu,"A proč by taky ne, K ČERTU!",parenth
jinak řečeno,"Jinak řečeno, mají shodující se a vzrůstající spletitost vizuálního jazyka, který funguje v předvídatelném pořadí.",parenth
pravděpodobně,"Po chvíli projdou pod balkonem dva malí kluci, pravděpodobně sourozenci, ve stejných tříčtvrtečních teplácích a tričkách bez rukávů.",parenth
nedej bože,"NEDEJ BOŽE, abych teď potkal nějakou ženu…",parenth
může být,"""MŮŽE BÝT, ""pokračoval v líčení budoucnosti Rakouska, ""že nás v případě války s Tureckem němci napadnou, poněvadž němci a turci drží dohromady.",parenth
lze věřit,"LZE VĚŘIT, že se píštěl konečně uzavře, pokračoval věcně.",parenth
jak se ukázalo,"JAK SE UKÁZALO, Babčenko zavražděn nebyl.",parenth
popravdě,"POPRAVDĚ NEVÍME, jestli to ""zpackali"", premiér je v podstatě omlouvá, každý soudný člověk to slyší, slyší ten jeho tekutý strach ze zemana.",parenth
povídalo se,"Povídalo se, že předseda byl bílý jako stěna, opile vrávoral a něco blekotal.",parenth
lze předpokládat,"lze předpokládat, že profesor přece jen svůj příběh vyprávěl, jinak bychom museli připustit, že se totéž zdálo Berliozovi.",parenth
jak se stává,"Ano, mnoho jsem přemýšlel a JAK SE STÁVÁ, k ničemu jsem přemýšlením nedospěl.",parenth
tak nějak,"Co říkáte na postoj Německa, které TAK NĚJAK lavíruje na hraně ekonomické nutnosti a morálních imperativů?",part
asi spíš,Ale ASI SPÍŠ v tom lepším: na bezpráví a násilí jsem citlivější.,part
a navíc,Ovšem jednu z nejdivnějších – A NAVÍC patřičně zpolitizovanou.,part
či co,"A cos ty myslil? Prášek, ČI CO?",part
k tomu,K TOMU SE u nás v České republice dále vyzbrojujeme těžkou pozemní technikou.,part
asi těžko,"ASI TĚŽKO by někdo mohl namítat něco proti tvrzení, že s nástupem Vladimira Putina vzrostla také aktivita Ruska na mezinárodní scéně.",part
nejen že,"NEJEN ŽE nemohl vstát, ale připadalo mu, že nesmí ani otevřít oči.",part
jako kdyby,"Rozjasněte svou tvář, jako kdyby přišel den oslavy našeho sňatku, který jsme si slíbili.",part
skoro ještě,Některé sceny přečetli jsme několikrát za sebou; celý román jsme přečetli skoro dvakrát po sobě a po druhé líbil se nám SKORO JEŠTĚ víc než po prvé.,part
tak blízko,"Tehdy jsme se ocitli TAK BLÍZKO odhalení, jako dosud nikdy, a není tedy divu, že nabytá zkušenost mě jednou provždy zbavila touhy po lásky hrách v křovinách.",part
nijak jinak,"Jdu stejnou cestou, stále s bolševiky a nijak jinak.",part
nic takového,NIC TAKOVÉHO zjevně není v plánu.,part
ne že by,"NE ŽE BY mu v tom národ český – slovenský ani tak ne – nebyl nápomocen, ale to by byl námět jiného povídání.",part
nic jiného než,Není to NIC JINÉHO NEŽ klamavá reklama.,part
jakoby,"Je pravda, že lékař řekl, že Toľka teď bude hluchý a slepý a JAKOBY celkem slabomyslný?",part
kousek od,"Stál KOUSEK OD mostu, co dělí Tajland od Kambodže.",part
do prčic,"DO PRČIC, jaká loterie?",part
přesně tak,"To je také asi docela dobrá rada pro to, jak rychle rozdělat oheň. Alena Gajdušková: Přesně tak, to je výborná rada. Martina: Tak ta je moje, prosím, alespoň s jednou jsem dnes přispěla, možná, že cestou přijde ještě nějaká.",part
v žádném případě,"v žádném případě, pane obrlajtnant, že jsem ho neukrad.",part
všeho všudy,Mám VŠEHO VŠUDY šestatřicet krejcarů.,part
čas od času,Čas od času někoho zastřelím.,part
ale přesto,"Hystali se jet na hory do Itálie, ALE PŘESTO jeli lyžovat do Rakouska.",part
to i ono,"Velitel praporu odvětil zachmuřeně: ""v tom to právě vězí, že dělají TO I ONO. "".",part
ale ne,"Já už jsem takovej od přírody. Myslím vždycky, že už jsem sytej, ale ne.",part
jak by ne,JAK BY NE! A oni měli určitě víc možností se bránit!,part
jaký div,"» Inu ano, archirej, kdož jiný? «» Jaký div? Co pak neviděl, aneb nenahleděl se na tebe? «",part
není to žádná,"Není to žádná sláva, ale šikne se ti to",part
společně s,"A právě Evropská unie je tím, kdo, SPOLEČNĚ S Ukrajinou, na této válce ztrácí nejvíc.",prep
navzdory tomu,NAVZDORY TOMU o ně mají zákazníci nebývalý zájem.,prep
na konec,Vagony MetroPlus jsou vždy zařazeny NA KONEC vlaku směrem ke Kapskému Městu.,prep
v blízkosti,Útulný apartmán V BLÍZKOSTI Mumlavských vodopádů.,prep
v roli,"Florida přidělila všech padesát hlasů svých delegátů Romneymu, kterého tím posunula v roli hlavního hráče o republikánskou nominaci.",prep
ve formě,"Má právo zničit všechny překážky VE FORMĚ institucí a tradic, jež omezují lidskou svobodu výběru.",prep
ze strany,Já teď žádnou hrozbu pro Rusko ZE STRANY Západu nevidím.,prep
s pomocí,Po skončení druhé světové války byla S POMOCÍ ostatních svazových republik obnovena téměř zničená běloruská ekonomika.,prep
na účet,"Najednou v jeho nebohé hlavě cvakla nějaká záklopka, načež se jal vyzývavě vtipkovat NA ÚČET tělesných a duševních vlastností dívky.",prep
ve spojitosti se,"Zatímco se dnes v komunitě Red Lake konaly pohřby Jeffa Weise a tří z devíti obětí, rozšířily se zprávy, že byl zadržen další student VE SPOJITOSTI SE střelbou na škole z 21. března.",prep
v případě,"Teoreticky může V PŘÍPADĚ přerušení dodávek Česká republika několik měsíců přežít, než dojde k definitivnímu kolapsu, který jsem vám výše popsal.",prep
zpočátku,"100metrová loď byla na cestě vyzvednout svůj obvyklý náklad hnojiv a úředníci se ZPOČÁTKU obávali, že by loď mohla náklad vylít.",prep
při pohledu na,"Teprve teď, PŘI POHLEDU NA hvězdy, jejichž jména jsem neznal, jsem pochopil, jak daleko jsem od domova.",prep
v oblasti,"O čtyři roky později byl udělen patent, který se stal prvním světovým patentem vydaným V OBLASTI MRI.",prep
na útraty,"NA ÚTRATY vojenského eráru, to se rozumí.",prep
v souladu s,"Během války za nezávislost třináct států nejprve zformovalo slabou centrální vládu, kdy Kongres byl její jedinou složkou, v souladu s Články Konfederace.",prep
ne bez,"Anton se posadil na stoličku, která pod ním v tom okamžiku vyrostla. NE BEZ údivu si povšiml, že se jeho i Arongův slovník změnil, dokonce hlasy jim zněly jinak.",prep
soudě podle,"Jenže růž se rychle vrátila do Putinových lící, SOUDĚ PODLE toho, jak promptně hackeři zaútočili znovu.",prep
ve prospěch,Ale regulace VE PROSPĚCH obyčejných občanů a firem možné nejsou.,prep
na rozdíl od,"Ačkoli profesor Langdon zřejmě nemůže být považován za klasicky krásného muže, NA ROZDÍL OD některých mladších oceněných, tento čtyřicátník rozhodně neimponuje pouze svou učeností.",prep
které jsou předmětem,"Mluvčí Nadace Komen Leslie Aun říká, že organizace přijala nové pravidlo, které neumožňuje udělení grantů nebo financování organizacím, KTERÉ JSOU PŘEDMĚTEM právního šetření.",prep
na základě,"Podobně teď nás učí o skupinách definovaných NA ZÁKLADĚ rasy či pohlaví, které ovládají a utlačují ostatní skupiny.",prep
v platnost,"Podepsala se roku 1992, ale V PLATNOST vešla v roce 2002.",prep
ve srovnání s,VE SROVNÁNÍ S jinými členskými státy zastávají Maďaři svérázné pozice už od samého začátku války.,prep
s tím jak,"S TÍM, JAK se průmyslově množí, jeho evoluce se urychlí na maximum.",prep
založeno na,Toto rozhodnutí – ponechat pacienta zemřít – bylo ZALOŽENO NA odborně podloženém závěru.,prep
v zájmu,Podle ruského prezidenta by společným cílem všech zemí mělo být zajištění bezpečnosti bez dělicích čar a jednotný prostor pro spolupráci V ZÁJMU prosperity Evropy i celého světa.,prep
za pomoci,"A z bílkovin se ZA POMOCI vitaminu C tvoří růstový hormon HGH, který zmenšuje objem tukových buněk.",prep
za účelem,To vše ZA ÚČELEM násilného uchopení moci.,prep
jako součást,"Většina chrámových festivalů se slaví JAKO SOUČÁST chrámového výročí, narozenin zde vládnoucího božstva nebo jakékoliv jiné velké události spojené s chrámem.",prep
ve skupině,"Byl jsem VE SKUPINĚ lidí, která StopFake. Org založila.",prep
v průběhu,To může V PRŮBĚHU několika dnů nebo týdnů danou značku doslova zničit.,prep
v závislosti na,"Počet rodilých mluvčích se liší V ZÁVISLOSTI NA tom, zda započítáme velmi blízká nářečí, nebo nikoliv.",prep
až po,Já jsem byla opět v jiném stavu a skoro celé těhotenství AŽ PO porod nejmladší dcerky jsem prožila ve strachu.,prep
v očích,V OČÍCH západních spojenců může naopak Koudelkova prestiž vzrůst.,prep
ve chvílích,"Autoři tohoto vysvětlení ho proto omlouvali, že omylu se nelze divit, protože psychické napětí VE CHVÍLÍCH návratu bylo velmi silné.",prep
v podmínkách,Oslavy sedmdesátého výročí vlády komunistů probíhaly v SSSR již V PODMÍNKÁCH Gorbačovovy perestrojky a glasnosti.,prep
po dobu,Vědci z lékařské fakulty na univerzitě v Сincinnati PO DOBU dvanácti měsíců podávali starším lidem s klesající pamětí denní dávku hroznového džusu nebo placebo nápoj.,prep
spolu s,Podle něj ale zvláštnosti trhu s jaderným palivem SPOLU S dědictvím sovětské technologie ztěžují diverzifikaci.,prep
v rámci,"Při kompletní výchově nelidskými zvířaty vykazuje divoké dítě téměř totožné chování (V RÁMCI fyzických možností) jako dané pečující zvíře, jako je jeho strach nebo nevšímavost vůči lidem.",prep
s výjimkou,"Každý člověk má i svou vlastní vůni, S VÝJIMKOU jednovaječných dvojčat.",prep
bez ohledu na,"Protože tam jsou dodávky rok děleno tři sta šedesáti pěti, každý den vám teče stejné množství, BEZ OHLEDU NA to, jestli je zima, nebo léto.",prep
nedaleko,"Nejdřív ty nové drželi v karanténě v prvním patře, pak je přepravili do cel nedaleko mé místnosti.",prep
v okrese,Pláže North Shore (V OKRESE North Harbour) se nacházejí v Tichém oceánu a táhnou se od Long Bay na severu až po Devonport na jihu.,prep
po skončení,"PO SKONČENÍ práce četla, co za den napsali, á viděla, jak se chmuří, pozorně naslouchaje.",prep
na počest,"Na den přesně před 75 lety se totiž v Moskvě konala na Rudém náměstí NA POČEST grandiózního, i když za astronomickou cenu dosaženého vítězství slavnostní.",prep
ve jménu,"Ale trochu mě zaráželo, že manifest je sice dán VE JMÉNU carově, ale podepsán jen Nikolajem Nikolajevičem, docela tak, jak rakouský císař mluvil k Polákům skrze svého generalissima; už to naznačovalo právní nezávaznost projevu.",prep
s ohledem na,"Pokud by však nesouhlasili, musejí připustit, že o dětech rozhodují rodiče, ale nikoli podle své libosti, nýbrž jedině a výhradně S OHLEDEM NA jejich zájem.",prep
pod názvem,Tento zvyk z časů Ruského impéria byl POD NÁZVEM „gardová stuha “.,prep
v podobě,Západ V PODOBĚ Evropská unie koncipuje plány na své sebezničení.,prep
